0	0.249444
1	0.161653
2	0.090953
3	0.047145
4	0.025056
5	0.014306
6	0.008759
7	0.005806
8	0.004229
9	0.003416
10	0.003089
11	0.003055
12	0.003367
13	0.003610
14	0.003674
15	0.003728
16	0.004058
17	0.004434
18	0.004415
19	0.004229
20	0.004058
21	0.003766
22	0.003587
23	0.003329
24	0.003332
25	0.003591
26	0.003549
27	0.003389
28	0.003294
29	0.003492
30	0.003560
31	0.003815
32	0.004028
33	0.004001
34	0.004013
35	0.004009
36	0.004130
37	0.004165
38	0.004275
39	0.004366
40	0.004279
41	0.004180
42	0.003944
43	0.003496
44	0.003416
45	0.003355
46	0.003773
47	0.004206
48	0.004586
49	0.004792
50	0.004833
51	0.004765
52	0.004754
53	0.004602
54	0.004548
55	0.004613
56	0.004518
57	0.004165
58	0.003815
59	0.003667
60	0.003655
61	0.003515
62	0.003427
63	0.003450
64	0.003488
65	0.003503
66	0.003424
67	0.003435
68	0.003655
69	0.003731
70	0.003530
71	0.003511
72	0.003557
73	0.003701
74	0.003845
75	0.003959
76	0.004111
77	0.004275
78	0.004446
79	0.004298
80	0.004013
81	0.004081
82	0.004115
83	0.004184
84	0.004104
85	0.003883
86	0.003872
87	0.004089
88	0.004096
89	0.003891
90	0.003823
91	0.003861
92	0.003731
93	0.003629
94	0.003500
95	0.003716
96	0.003929
97	0.004020
98	0.003975
99	0.003876
100	0.003967
101	0.003906
102	0.003762
103	0.003735
104	0.003625
105	0.003568
106	0.003564
107	0.003682
108	0.003792
109	0.003861
110	0.003914
111	0.004153
112	0.004317
113	0.004115
114	0.004111
115	0.004127
116	0.004130
117	0.004081
118	0.004142
119	0.004180
120	0.003902
121	0.003709
122	0.003743
123	0.003899
124	0.004176
125	0.004176
126	0.004100
127	0.004127
128	0.004146
129	0.004271
130	0.004301
131	0.004374
132	0.004180
133	0.004047
134	0.004081
135	0.004066
136	0.003990
137	0.003895
138	0.003963
139	0.004165
140	0.004252
141	0.004222
142	0.004058
143	0.004062
144	0.004001
145	0.004054
146	0.004032
147	0.003701
148	0.003454
149	0.003541
150	0.003838
151	0.004165
152	0.004385
153	0.004271
154	0.004248
155	0.004495
156	0.004442
157	0.004469
158	0.004541
159	0.004514
160	0.004343
161	0.003906
162	0.003500
163	0.003454
164	0.003690
165	0.003971
166	0.004089
167	0.003986
168	0.003674
169	0.003405
170	0.003401
171	0.003583
172	0.003838
173	0.004127
174	0.004252
175	0.004157
176	0.003800
177	0.003568
178	0.003401
179	0.003237
180	0.003028
181	0.002835
182	0.002789
183	0.002899
184	0.003260
185	0.003583
186	0.003849
187	0.003887
188	0.003978
189	0.004066
190	0.003994
191	0.003807
192	0.003595
193	0.003591
194	0.003788
195	0.004043
196	0.004241
197	0.004203
198	0.003944
199	0.003864
200	0.003773
201	0.003678
202	0.003538
203	0.003572
204	0.003781
205	0.004024
206	0.004210
207	0.004066
208	0.003758
209	0.003621
210	0.003644
211	0.003788
212	0.003975
213	0.003857
214	0.003553
215	0.003367
216	0.003412
217	0.003598
218	0.003678
219	0.003709
220	0.003712
221	0.003503
222	0.003420
223	0.003625
224	0.003872
225	0.003861
226	0.003773
227	0.003667
228	0.003697
229	0.003595
230	0.003625
231	0.003579
232	0.003614
233	0.003568
234	0.003534
235	0.003454
236	0.003515
237	0.003625
238	0.003690
239	0.003621
240	0.003496
241	0.003427
242	0.003617
243	0.003678
244	0.003895
245	0.004229
246	0.004366
247	0.004571
248	0.004662
249	0.004336
250	0.003902
251	0.003614
252	0.003420
253	0.003283
254	0.003503
255	0.003750
