0	0.249444
1	0.203878
2	0.162253
3	0.128049
4	0.103095
5	0.086131
6	0.075047
7	0.068063
8	0.063790
9	0.061405
10	0.060374
11	0.060169
12	0.060663
13	0.061390
14	0.061937
15	0.062557
16	0.063115
17	0.063402
18	0.063429
19	0.063245
20	0.062654
21	0.061797
22	0.060982
23	0.060197
24	0.059861
25	0.060102
26	0.060452
27	0.060908
28	0.061369
29	0.061903
30	0.062260
31	0.062709
32	0.062984
33	0.063303
34	0.063391
35	0.063214
36	0.063100
37	0.062954
38	0.062918
39	0.062958
40	0.062876
41	0.062811
42	0.062462
43	0.061837
44	0.061565
45	0.061631
46	0.061939
47	0.062447
48	0.062891
49	0.063334
50	0.063526
51	0.063397
52	0.063005
53	0.062625
54	0.062437
55	0.062477
56	0.062310
57	0.062139
58	0.062163
59	0.061932
60	0.061924
61	0.061859
62	0.061658
63	0.061519
64	0.061377
65	0.061443
66	0.061601
67	0.061839
68	0.061973
69	0.061869
70	0.061694
71	0.061698
72	0.061966
73	0.062133
74	0.062272
75	0.062371
76	0.062583
77	0.062868
78	0.063155
79	0.063514
80	0.063663
81	0.063761
82	0.063801
83	0.063642
84	0.063359
85	0.063064
86	0.062661
87	0.062384
88	0.062184
89	0.061911
90	0.061907
91	0.062120
92	0.062251
93	0.062188
94	0.061842
95	0.061725
96	0.061755
97	0.061808
98	0.062175
99	0.062623
100	0.063013
101	0.063245
102	0.063229
103	0.063070
104	0.063024
105	0.063110
106	0.063178
107	0.063309
108	0.063231
109	0.063292
110	0.063450
111	0.063526
112	0.063321
113	0.062965
114	0.062663
115	0.062355
116	0.062177
117	0.062101
118	0.062106
119	0.061901
120	0.061702
121	0.061820
122	0.062091
123	0.062490
124	0.063068
125	0.063393
126	0.063628
127	0.063598
128	0.063664
129	0.063569
130	0.063176
131	0.062872
132	0.062507
133	0.062205
134	0.061780
135	0.061658
136	0.061559
137	0.061337
138	0.061267
139	0.061529
140	0.061907
141	0.062148
142	0.062401
143	0.062448
144	0.062384
145	0.062080
146	0.061709
147	0.061594
148	0.061776
149	0.062171
150	0.062610
151	0.063070
152	0.063463
153	0.063822
154	0.064156
155	0.064350
156	0.064322
157	0.064137
158	0.063984
159	0.063486
160	0.062929
161	0.062599
162	0.062431
163	0.062363
164	0.062730
165	0.063330
166	0.063718
167	0.063980
168	0.063885
169	0.063359
170	0.062659
171	0.062458
172	0.062526
173	0.062583
174	0.062566
175	0.062431
176	0.062194
177	0.062015
178	0.061700
179	0.061436
180	0.061079
181	0.060678
182	0.060621
183	0.060883
184	0.061195
185	0.061288
186	0.061278
187	0.061333
188	0.061519
189	0.061825
190	0.062139
191	0.062306
192	0.062388
193	0.062633
194	0.062730
195	0.062764
196	0.062773
197	0.062868
198	0.062939
199	0.062939
200	0.062836
201	0.062545
202	0.062312
203	0.062122
204	0.061926
205	0.061973
206	0.062124
207	0.062203
208	0.062314
209	0.062367
210	0.062226
211	0.062401
212	0.062568
213	0.062682
214	0.062464
215	0.062283
216	0.062017
217	0.061620
218	0.061278
219	0.061056
220	0.060824
221	0.060668
222	0.060837
223	0.061335
224	0.061880
225	0.062321
226	0.062448
227	0.062304
228	0.062002
229	0.061903
230	0.061966
231	0.062046
232	0.062097
233	0.062089
234	0.061994
235	0.061749
236	0.061508
237	0.061421
238	0.061295
239	0.061195
240	0.061238
241	0.061337
242	0.061278
243	0.061343
244	0.061443
245	0.061595
246	0.061650
247	0.061802
248	0.061909
249	0.061892
250	0.061652
251	0.061282
252	0.060993
253	0.060854
254	0.060832
255	0.060972
